seed=20260815  test_frac=0.2
entries: 964  train: 808  test: 156 (16.2%)
theory files: train 5729  test 1128
bytes: train 192.4 MB  test 34.7 MB

stratum                             train   test   test%
HOL                                   243     61     20%
HOL-Library                            74     19     20%
HOL-Analysis                           50     12     19%
HOL-Probability                        46     12     21%
HOL-Number_Theory                      18      4     18%
HOL-Computational_Algebra              14      3     18%
HOL-Algebra                            12      3     20%
HOL-Complex_Analysis                   12      3     20%
HOLCF                                   6      2     25%
Abstract-Rewriting                      6      1     14%
Coinductive                             6      1     14%
HOL-Cardinals                           6      1     14%
Berlekamp_Zassenhaus                    5      1     17%
HOL-Nominal                             5      1     17%
Jordan_Normal_Form                      5      1     17%
Sepref_IICF                             5      1     17%
Zeta_Function                           5      1     17%
Collections                             4      1     20%
Context_Free_Grammar                    4      1     20%
CryptHOL                                4      1     20%
Dirichlet_Series                        4      1     20%
First_Order_Terms                       4      1     20%
HOL-Combinatorics                       4      1     20%
Word_Lib                                4      1     20%
Algebraic_Numbers                       3      1     25%
Bernoulli                               3      1     25%
CAVA_Automata                           3      1     25%
Combinatorics_Words                     3      1     25%
Containers                              3      1     25%
Bounded_Deducibility_Security           2      1     33%
Deriving                                2      1     33%
Groebner_Bases                          2      1     33%
HOL-Eisbach                             2      1     33%
Kleene_Algebra                          2      1     33%
LTL                                     2      1     33%
Markov_Models                           2      1     33%
Mission_Time_LTL                        2      1     33%
Nested_Multisets_Ordinals               2      1     33%
Nominal2                                2      1     33%
Ordered_Resolution_Prover               2      1     33%
Refine_Imperative_HOL                   2      1     33%
Saturation_Framework                    2      1     33%
Simpl                                   2      1     33%
Stirling_Formula                        2      1     33%
Stone_Relation_Algebras                 2      1     33%
Transition_Systems_and_Automata         2      1     33%
Akra_Bazzi                              2      0      0%
Bell_Numbers_Spivey                     2      0      0%
Category3                               2      0      0%
Complex_Bounded_Operators               2      0      0%
Distributed_Distinct_Elements           2      0      0%
Epistemic_Logic                         2      0      0%
FOL-Fitting                             2      0      0%
Finite_Automata_HF                      2      0      0%
Flow_Networks                           2      0      0%
Girth_Chromatic                         2      0      0%
Goedel_Incompleteness                   2      0      0%
Graph_Theory                            2      0      0%
HOL-CSP                                 2      0      0%
Hilbert_Space_Tensor_Product            2      0      0%
Jinja                                   2      0      0%
LLL_Basis_Reduction                     2      0      0%
LLL_Factorization                       2      0      0%
Labeled_Transition_Systems              2      0      0%
MFOTL_Monitor                           2      0      0%
MonoidalCategory                        2      0      0%
Optics                                  2      0      0%
Parity_Game                             2      0      0%
Prime_Distribution_Elementary           2      0      0%
Prime_Number_Theorem                    2      0      0%
Registers                               2      0      0%
Regular-Sets                            2      0      0%
Relation_Algebra                        2      0      0%
Saturation_Framework_Extensions         2      0      0%
Sepref_Prereq                           2      0      0%
Sorted_Terms                            2      0      0%
Stone_Algebras                          2      0      0%
Stone_Kleene_Relation_Algebras          2      0      0%
Syntax_Independent_Logic                2      0      0%
Theta_Functions                         2      0      0%
Three_Squares                           2      0      0%
Weighted_Path_Order                     2      0      0%
ZF                                      2      0      0%
ZF-Constructible                        2      0      0%
AWN                                     1      0      0%
Abstract_Completeness                   1      0      0%
Abstract_Substitution                   1      0      0%
Affine_Arithmetic                       1      0      0%
Aggregation_Algebras                    1      0      0%
Amortized_Complexity                    1      0      0%
Applicative_Lifting                     1      0      0%
Automatic_Refinement                    1      0      0%
BD_Security_Compositional               1      0      0%
CRDT                                    1      0      0%
Card_Partitions                         1      0      0%
Catalan_Numbers                         1      0      0%
Cauchy                                  1      0      0%
Commuting_Hermitian                     1      0      0%
Complex_Geometry                        1      0      0%
ConcurrentIMP                           1      0      0%
Constructive_Cryptography               1      0      0%
Cook_Levin                              1      0      0%
Core_DOM                                1      0      0%
Core_SC_DOM                             1      0      0%
Count_Complex_Roots                     1      0      0%
Delta_System_Lemma                      1      0      0%
Dependent_SIFUM_Type_Systems            1      0      0%
Difference_Bound_Matrices               1      0      0%
Doob_Convergence                        1      0      0%
DynamicArchitectures                    1      0      0%
E_Transcendental                        1      0      0%
Echelon_Form                            1      0      0%
Elementary_Ultrametric_Spaces           1      0      0%
Ergodic_Theory                          1      0      0%
Expander_Graphs                         1      0      0%
Extended_Finite_State_Machines          1      0      0%
Farkas                                  1      0      0%
Fermat3_4                               1      0      0%
First_Order_Rewriting                   1      0      0%
Floyd_Warshall                          1      0      0%
Formal_SSA                              1      0      0%
Game_Based_Crypto                       1      0      0%
Gauss_Jordan                            1      0      0%
Gaussian_Integers                       1      0      0%
Group-Ring-Module                       1      0      0%
HOL-CSPM                                1      0      0%
HOL-CSP_OpSem                           1      0      0%
HOL-CSP_PTick                           1      0      0%
HOL-CSP_RS                              1      0      0%
HOL-IMP                                 1      0      0%
HOL-Imperative_HOL                      1      0      0%
HOL-Nonstandard_Analysis                1      0      0%
HOL-ODE-Numerics                        1      0      0%
HOL-Real_Asymp                          1      0      0%
HOL-SPARK-Examples                      1      0      0%
HOL-ZF                                  1      0      0%
HOLCF-Library                           1      0      0%
HOLCF-Prelude                           1      0      0%
HRB-Slicing                             1      0      0%
HereditarilyFinite                      1      0      0%
Hermite                                 1      0      0%
Hermite_Lindemann                       1      0      0%
IMP2                                    1      0      0%
IP_Addresses                            1      0      0%
Incompleteness                          1      0      0%
Interval_Analysis                       1      0      0%
Iptables_Semantics                      1      0      0%
Isabelle_Marries_Dirac                  1      0      0%
Jacobson_Basic_Algebra                  1      0      0%
KAT_and_DRA                             1      0      0%
Knuth_Bendix_Order                      1      0      0%
Lambda_Free_RPOs                        1      0      0%
Launchbury                              1      0      0%
Linear_Inequalities                     1      0      0%
List-Infinite                           1      0      0%
MDP-Rewards                             1      0      0%
MLSS_Decision_Proc                      1      0      0%
Martingales                             1      0      0%
Matrix                                  1      0      0%
Matrix_Tensor                           1      0      0%
Mersenne_Primes                         1      0      0%
Min_Max_Least_Greatest                  1      0      0%
Monad_Memo_DP                           1      0      0%
More_LazyLists                          1      0      0%
Munta_Model_Checker                     1      0      0%
Nash_Williams                           1      0      0%
Nat-Interval-Logic                      1      0      0%
Noninterference_CSP                     1      0      0%
Noninterference_Ipurge_Unwinding        1      0      0%
Noninterference_Sequential_Compos       1      0      0%
Order_Lattice_Props                     1      0      0%
Ordinal                                 1      0      0%
Ordinary_Differential_Equations         1      0      0%
Package_logic                           1      0      0%
Padic_Ints                              1      0      0%
Path_Automation                         1      0      0%
Perfect_Fields                          1      0      0%
Pi_Transcendental                       1      0      0%
Pluennecke_Ruzsa_Inequality             1      0      0%
Poincare_Bendixson                      1      0      0%
Poincare_Disc                           1      0      0%
Polynomials                             1      0      0%
Priority_Search_Trees                   1      0      0%
Probabilistic_While                     1      0      0%
Probability_Inequality_Completene       1      0      0%
Projective_Measurements                 1      0      0%
Propositional_Proof_Systems             1      0      0%
Pure                                    1      0      0%
QHLProver                               1      0      0%
Quantales                               1      0      0%
Quantales_Converse                      1      0      0%
Quick_Sort_Cost                         1      0      0%
